epoch,step,train_loss_epoch,train_loss_step
0,49,,13.535292625427246
0,99,,10.994219779968262
0,144,10.135957717895508,
1,149,,16.150171279907227
1,199,,7.0357208251953125
1,249,,5.534968376159668
1,289,8.375303268432617,
2,299,,8.07747745513916
2,349,,5.3620195388793945
2,399,,4.548312187194824
2,434,7.290371417999268,
3,449,,7.840574264526367
3,499,,7.828557014465332
3,549,,8.770259857177734
3,579,6.549774169921875,
4,599,,7.150045394897461
4,649,,2.6499149799346924
4,699,,4.540807247161865
4,724,5.872076034545898,
5,749,,4.9952392578125
5,799,,5.963443756103516
5,849,,4.032962322235107
5,869,5.250994682312012,
6,899,,4.18137788772583
6,949,,2.983518600463867
6,999,,3.687204599380493
6,1014,4.892438888549805,
7,1049,,3.2943878173828125
7,1099,,5.497329235076904
7,1149,,4.537896156311035
7,1159,4.404104232788086,
8,1199,,3.3507637977600098
8,1249,,5.874666690826416
8,1299,,2.5096311569213867
8,1304,4.337911128997803,
9,1349,,3.7387678623199463
9,1399,,4.357060432434082
9,1449,,2.7950191497802734
9,1449,4.192063808441162,
10,1499,,3.9437198638916016
10,1549,,3.800480365753174
10,1594,3.972764492034912,
11,1599,,4.017675876617432
11,1649,,6.515192985534668
11,1699,,2.718480110168457
11,1739,3.97816801071167,
12,1749,,4.826464653015137
12,1799,,3.1447253227233887
12,1849,,4.555615425109863
12,1884,3.7533910274505615,
13,1899,,4.670381546020508
13,1949,,2.987544536590576
13,1999,,3.726177215576172
13,2029,3.5408241748809814,
14,2049,,3.355717658996582
14,2099,,2.7953410148620605
14,2149,,3.470123529434204
14,2174,3.5172030925750732,
15,2199,,2.9515066146850586
15,2249,,2.566579818725586
15,2299,,3.0789709091186523
15,2319,3.417060136795044,
16,2349,,4.0763678550720215
16,2399,,2.2433176040649414
16,2449,,3.669269561767578
16,2464,3.4268245697021484,
17,2499,,1.3239796161651611
17,2549,,3.0000057220458984
17,2599,,3.0086467266082764
17,2609,3.4057393074035645,
18,2649,,2.9034948348999023
18,2699,,3.550333023071289
18,2749,,4.397557258605957
18,2754,3.2747178077697754,
19,2799,,4.532734394073486
19,2849,,2.383885383605957
19,2899,,1.6485474109649658
19,2899,3.365767478942871,
20,2949,,3.4871959686279297
20,2999,,3.5337090492248535
20,3044,3.1133482456207275,
21,3049,,3.8091373443603516
21,3099,,2.581271171569824
21,3149,,3.198997735977173
21,3189,3.10524320602417,
22,3199,,4.143798351287842
22,3249,,2.4353294372558594
22,3299,,1.632949948310852
22,3334,3.040438413619995,
23,3349,,2.081845998764038
23,3399,,3.6703145503997803
23,3449,,4.832538604736328
23,3479,3.016319513320923,
24,3499,,3.3497958183288574
24,3549,,3.2019267082214355
24,3599,,1.6635116338729858
24,3624,2.903406858444214,
25,3649,,3.0589499473571777
25,3699,,3.4239814281463623
25,3749,,2.4755654335021973
25,3769,2.978637456893921,
26,3799,,2.8506886959075928
26,3849,,2.527520179748535
26,3899,,5.588627815246582
26,3914,2.89164662361145,
27,3949,,2.8890457153320312
27,3999,,1.3314340114593506
27,4049,,2.079483985900879
27,4059,2.9196860790252686,
28,4099,,3.4409568309783936
28,4149,,1.9792934656143188
28,4199,,3.2051172256469727
28,4204,2.802720785140991,
