epoch,step,train_loss_epoch,train_loss_step
0,49,,10.239827156066895
0,99,,6.329672813415527
0,143,9.83970832824707,
1,149,,10.429004669189453
1,199,,5.152770042419434
1,249,,6.318444728851318
1,287,7.779441833496094,
2,299,,5.934743881225586
2,349,,8.198254585266113
2,399,,6.573864936828613
2,431,6.781973361968994,
3,449,,9.469146728515625
3,499,,7.7146782875061035
3,549,,5.653234004974365
3,575,6.063032150268555,
4,599,,3.9199113845825195
4,649,,6.6486358642578125
4,699,,4.457804203033447
4,719,5.379391193389893,
5,749,,5.6774749755859375
5,799,,4.099742889404297
5,849,,4.7745256423950195
5,863,4.823031425476074,
6,899,,3.5516350269317627
6,949,,5.51606559753418
6,999,,5.839504241943359
6,1007,4.423469543457031,
7,1049,,3.5635077953338623
7,1099,,4.694502830505371
7,1149,,4.645186424255371
7,1151,4.068906307220459,
8,1199,,2.7811856269836426
8,1249,,3.453796625137329
8,1295,4.043611526489258,
9,1299,,4.6809892654418945
9,1349,,2.5111517906188965
9,1399,,3.132085084915161
9,1439,3.706834077835083,
10,1449,,3.302809476852417
10,1499,,5.876503944396973
10,1549,,4.498337268829346
10,1583,3.7236530780792236,
11,1599,,5.5598249435424805
11,1649,,4.036812782287598
11,1699,,5.805326461791992
11,1727,3.670494556427002,
12,1749,,3.0439376831054688
12,1799,,2.3448760509490967
12,1849,,2.914472818374634
12,1871,3.5152335166931152,
13,1899,,1.489398717880249
13,1949,,1.9288980960845947
13,1999,,2.600071430206299
13,2015,3.4518275260925293,
14,2049,,3.8633742332458496
14,2099,,2.926938533782959
14,2149,,4.452451705932617
14,2159,3.2297115325927734,
15,2199,,3.1597492694854736
15,2249,,2.475464344024658
15,2299,,4.40475606918335
15,2303,3.390699863433838,
16,2349,,3.292443037033081
16,2399,,3.4153988361358643
16,2447,3.2687370777130127,
17,2449,,2.4261538982391357
17,2499,,2.8619635105133057
17,2549,,1.9973270893096924
17,2591,3.376549482345581,
18,2599,,2.364889621734619
18,2649,,3.8825442790985107
18,2699,,2.8148508071899414
18,2735,3.3020262718200684,
19,2749,,3.6037166118621826
19,2799,,1.4142961502075195
19,2849,,3.565110683441162
19,2879,3.1635262966156006,
20,2899,,3.544753313064575
20,2949,,3.890753984451294
20,2999,,3.8633174896240234
20,3023,3.131537437438965,
21,3049,,3.9507384300231934
21,3099,,1.7775055170059204
21,3149,,2.3338465690612793
21,3167,3.272761344909668,
22,3199,,1.9518928527832031
22,3249,,4.181206226348877
22,3299,,2.7186436653137207
22,3311,3.2658417224884033,
23,3349,,2.0575273036956787
23,3399,,2.629002094268799
23,3449,,2.935361862182617
23,3455,3.179006814956665,
24,3499,,4.293645858764648
24,3549,,3.106673240661621
24,3599,,2.7615864276885986
24,3599,3.096230983734131,
25,3649,,5.091357231140137
25,3699,,2.6667535305023193
25,3743,3.1094141006469727,
26,3749,,2.6332592964172363
26,3799,,1.8562508821487427
26,3849,,2.1829237937927246
26,3887,2.9986355304718018,
27,3899,,2.5533106327056885
27,3949,,3.666149616241455
27,3999,,2.5714006423950195
27,4031,2.8952548503875732,
28,4049,,5.2949957847595215
28,4099,,2.870028257369995
28,4149,,3.2504236698150635
28,4175,2.992673397064209,
29,4199,,2.6678214073181152
29,4249,,1.3387235403060913
29,4299,,1.4247956275939941
29,4319,2.9421064853668213,
30,4349,,3.969731330871582
30,4399,,1.9897693395614624
30,4449,,3.3426244258880615
30,4463,2.9492197036743164,
31,4499,,4.183720588684082
31,4549,,4.236438751220703
31,4599,,3.817978858947754
31,4607,2.8024559020996094,
32,4649,,2.2560806274414062
32,4699,,2.0694360733032227
32,4749,,3.760195732116699
32,4751,2.9981813430786133,
33,4799,,2.9361343383789062
33,4849,,2.6005184650421143
33,4895,2.824821949005127,
34,4899,,1.922188401222229
34,4949,,1.8186607360839844
34,4999,,1.3026643991470337
34,5039,2.9388251304626465,
35,5049,,3.7506065368652344
35,5099,,1.4575860500335693
35,5149,,1.9561362266540527
35,5183,2.803192377090454,
36,5199,,5.188845634460449
36,5249,,5.058854579925537
36,5299,,6.183337688446045
36,5327,3.106024980545044,
