epoch,step,train_loss_epoch,train_loss_step
0,49,,7.47174072265625
0,99,,10.116753578186035
0,144,8.338159561157227,
1,149,,10.068851470947266
1,199,,8.535390853881836
1,249,,5.7203450202941895
1,289,7.152953147888184,
2,299,,6.67857551574707
2,349,,6.455602645874023
2,399,,6.539162635803223
2,434,6.335002422332764,
3,449,,5.918114185333252
3,499,,5.404378414154053
3,549,,7.029664039611816
3,579,5.5031352043151855,
4,599,,4.34472131729126
4,649,,2.3449058532714844
4,699,,4.507768630981445
4,724,4.865459442138672,
5,749,,4.613936424255371
5,799,,4.579164028167725
5,849,,4.684491157531738
5,869,4.636910915374756,
6,899,,5.205831050872803
6,949,,5.117652416229248
6,999,,5.0599164962768555
6,1014,4.279367923736572,
7,1049,,3.727637529373169
7,1099,,5.28673791885376
7,1149,,4.548791885375977
7,1159,4.128279685974121,
8,1199,,4.67411470413208
8,1249,,3.6603574752807617
8,1299,,4.836493015289307
8,1304,3.9915599822998047,
9,1349,,2.5964910984039307
9,1399,,4.759256362915039
9,1449,,5.192230224609375
9,1449,3.837914228439331,
10,1499,,1.7929503917694092
10,1549,,3.956334114074707
10,1594,3.6885156631469727,
11,1599,,4.537598133087158
11,1649,,3.290808916091919
11,1699,,3.3617630004882812
11,1739,3.6960294246673584,
12,1749,,2.014042854309082
12,1799,,1.688751220703125
12,1849,,1.8345627784729004
12,1884,3.493879795074463,
13,1899,,3.9963417053222656
13,1949,,2.097476005554199
13,1999,,3.5144643783569336
13,2029,3.613912582397461,
14,2049,,2.5240542888641357
14,2099,,3.4723474979400635
14,2149,,2.9934298992156982
14,2174,3.2693264484405518,
15,2199,,4.911633014678955
15,2249,,2.5026838779449463
15,2299,,2.413086175918579
15,2319,3.4300529956817627,
16,2349,,2.4054555892944336
16,2399,,2.7754569053649902
16,2449,,3.673240900039673
16,2464,3.4213123321533203,
17,2499,,3.4897444248199463
17,2549,,1.9723252058029175
17,2599,,5.465578079223633
17,2609,3.145392656326294,
18,2649,,2.534914016723633
18,2699,,3.5581119060516357
18,2749,,0.8931546211242676
18,2754,3.3037984371185303,
19,2799,,2.723007917404175
19,2849,,3.4835331439971924
19,2899,,2.7640275955200195
19,2899,3.2608284950256348,
20,2949,,2.7840538024902344
20,2999,,4.291934967041016
20,3044,3.102261781692505,
21,3049,,2.0555825233459473
21,3099,,2.8161797523498535
21,3149,,2.432603359222412
21,3189,3.0579781532287598,
22,3199,,2.4844722747802734
22,3249,,3.256636381149292
22,3299,,3.2545204162597656
22,3334,3.124312162399292,
23,3349,,2.27984356880188
23,3399,,3.41857647895813
23,3449,,5.6904473304748535
23,3479,3.088693618774414,
24,3499,,4.965105056762695
24,3549,,2.024730920791626
24,3599,,2.9171559810638428
24,3624,2.9411466121673584,
25,3649,,2.0470640659332275
25,3699,,3.7737646102905273
25,3749,,2.868192672729492
25,3769,3.0257184505462646,
26,3799,,3.9217445850372314
26,3849,,6.367949485778809
26,3899,,6.000139236450195
26,3914,3.075913667678833,
27,3949,,4.547041893005371
27,3999,,2.0936851501464844
27,4049,,1.7894517183303833
27,4059,2.9559106826782227,
28,4099,,0.5715187788009644
28,4149,,6.155545234680176
28,4199,,7.888800621032715
28,4204,2.869358777999878,
29,4249,,4.006157875061035
29,4299,,8.184102058410645
29,4349,,3.054828405380249
29,4349,2.9265947341918945,
30,4399,,1.498366117477417
30,4449,,2.1820120811462402
30,4494,2.8555450439453125,
31,4499,,1.1901376247406006
31,4549,,3.1337740421295166
31,4599,,5.0462446212768555
31,4639,2.8936405181884766,
32,4649,,1.2291254997253418
32,4699,,2.735013484954834
32,4749,,1.919154167175293
32,4784,2.857020378112793,
33,4799,,1.7997981309890747
33,4849,,2.7352402210235596
33,4899,,3.3911547660827637
33,4929,2.8182435035705566,
34,4949,,4.063546657562256
34,4999,,2.5422134399414062
34,5049,,5.4023966789245605
34,5074,2.800319194793701,
35,5099,,2.271737575531006
35,5149,,4.63234281539917
35,5199,,2.3271679878234863
