epoch,step,train_loss_epoch,train_loss_step
0,49,,18.618576049804688
0,99,,4.484073162078857
0,143,10.551000595092773,
1,149,,10.071111679077148
1,199,,5.274575233459473
1,249,,8.146112442016602
1,287,8.839167594909668,
2,299,,9.435877799987793
2,349,,10.867246627807617
2,399,,7.238351821899414
2,431,7.486673355102539,
3,449,,6.558410167694092
3,499,,8.275221824645996
3,549,,7.366979598999023
3,575,6.364679336547852,
4,599,,7.187087059020996
4,649,,6.8550591468811035
4,699,,5.5185065269470215
4,719,5.673462390899658,
5,749,,1.9688485860824585
5,799,,4.2985005378723145
5,849,,5.682642459869385
5,863,5.063114166259766,
6,899,,5.074322700500488
6,949,,7.572940826416016
6,999,,5.723039150238037
6,1007,4.732535362243652,
7,1049,,2.2330121994018555
7,1099,,7.701317310333252
7,1149,,2.8506052494049072
7,1151,4.261966705322266,
8,1199,,4.3058319091796875
8,1249,,7.874852657318115
8,1295,4.298177242279053,
9,1299,,3.1974220275878906
9,1349,,5.889842987060547
9,1399,,2.953956365585327
9,1439,3.944430112838745,
10,1449,,2.762650489807129
10,1499,,3.675220012664795
10,1549,,2.6801071166992188
10,1583,3.70975399017334,
11,1599,,3.714996814727783
11,1649,,9.371586799621582
11,1699,,3.257127046585083
11,1727,3.806147575378418,
12,1749,,4.5714945793151855
12,1799,,2.230598211288452
12,1849,,2.773414134979248
12,1871,3.5803136825561523,
13,1899,,2.184027910232544
13,1949,,2.584840774536133
13,1999,,1.4453984498977661
13,2015,3.444385290145874,
14,2049,,3.7601633071899414
14,2099,,7.262172698974609
14,2149,,2.633399248123169
14,2159,3.5323398113250732,
15,2199,,4.495336532592773
15,2249,,3.271620273590088
15,2299,,4.208556175231934
15,2303,3.592522144317627,
16,2349,,3.62288761138916
16,2399,,2.0242958068847656
16,2447,3.5269052982330322,
17,2449,,2.8436267375946045
17,2499,,4.29808235168457
17,2549,,2.8323192596435547
17,2591,3.4137842655181885,
18,2599,,2.1031057834625244
18,2649,,1.8168845176696777
18,2699,,1.5834848880767822
18,2735,3.3417251110076904,
19,2749,,2.1933579444885254
19,2799,,5.154987335205078
19,2849,,2.9949073791503906
19,2879,3.2995691299438477,
20,2899,,1.7135547399520874
20,2949,,2.2877163887023926
20,2999,,2.879328727722168
20,3023,3.3040740489959717,
21,3049,,2.3682432174682617
21,3099,,3.103818893432617
21,3149,,5.193826675415039
21,3167,3.327779531478882,
22,3199,,4.573298454284668
22,3249,,3.809115409851074
22,3299,,3.638890266418457
22,3311,3.2847743034362793,
23,3349,,1.3432834148406982
23,3399,,2.133145809173584
23,3449,,2.157303810119629
23,3455,3.1032981872558594,
24,3499,,1.533386468887329
24,3549,,2.5053157806396484
24,3599,,2.403454065322876
24,3599,3.0201103687286377,
25,3649,,3.72615385055542
25,3699,,7.102288246154785
25,3743,3.228609561920166,
26,3749,,3.302399158477783
26,3799,,4.72993278503418
26,3849,,1.5865135192871094
26,3887,3.0123870372772217,
27,3899,,2.3206627368927
27,3949,,1.5530338287353516
27,3999,,2.5007381439208984
27,4031,3.076354503631592,
28,4049,,3.7293996810913086
28,4099,,3.3974592685699463
28,4149,,5.0841779708862305
28,4175,3.036923885345459,
29,4199,,1.5710594654083252
29,4249,,2.614168643951416
29,4299,,4.620996475219727
29,4319,3.1761679649353027,
30,4349,,2.9644250869750977
30,4399,,1.3362536430358887
30,4449,,2.2035393714904785
30,4463,3.0376617908477783,
31,4499,,3.983941078186035
31,4549,,4.497136116027832
31,4599,,3.9272384643554688
31,4607,3.0793142318725586,
