epoch,step,train_loss_epoch,train_loss_step
0,49,,7.779536724090576
0,99,,6.868680000305176
0,143,8.771608352661133,
1,149,,7.400921821594238
1,199,,8.481609344482422
1,249,,6.183566093444824
1,287,7.81132173538208,
2,299,,6.04537296295166
2,349,,6.292305946350098
2,399,,6.902202129364014
2,431,6.8773722648620605,
3,449,,3.473423957824707
3,499,,6.161037445068359
3,549,,7.203165054321289
3,575,6.186784744262695,
4,599,,6.527996063232422
4,649,,3.2110862731933594
4,699,,7.498816967010498
4,719,5.500386714935303,
5,749,,7.108566761016846
5,799,,6.504617214202881
5,849,,3.146817684173584
5,863,5.0157294273376465,
6,899,,4.935251712799072
6,949,,3.7373805046081543
6,999,,1.58270263671875
6,1007,4.696469783782959,
7,1049,,5.913947582244873
7,1099,,8.561294555664062
7,1149,,5.403032302856445
7,1151,4.202813625335693,
8,1199,,3.084744930267334
8,1249,,4.20642614364624
8,1295,3.961185932159424,
9,1299,,7.510226249694824
9,1349,,5.511641979217529
9,1399,,3.988980770111084
9,1439,3.8932576179504395,
10,1449,,3.9788026809692383
10,1499,,4.125766277313232
10,1549,,5.222835540771484
10,1583,3.7945704460144043,
11,1599,,7.679292678833008
11,1649,,3.4060041904449463
11,1699,,4.88470983505249
11,1727,3.7114782333374023,
12,1749,,2.3433659076690674
12,1799,,2.8117053508758545
12,1849,,1.8981647491455078
12,1871,3.520705223083496,
13,1899,,3.334803581237793
13,1949,,4.718192100524902
13,1999,,4.268184185028076
13,2015,3.3834807872772217,
14,2049,,2.3470683097839355
14,2099,,4.937777519226074
14,2149,,3.1095197200775146
14,2159,3.441329002380371,
15,2199,,5.00583553314209
15,2249,,3.135016918182373
15,2299,,4.153515815734863
15,2303,3.2083003520965576,
16,2349,,2.875455141067505
16,2399,,3.9898338317871094
16,2447,3.279062509536743,
17,2449,,4.052220344543457
17,2499,,2.787569046020508
17,2549,,4.573464393615723
17,2591,3.196715831756592,
18,2599,,3.3307249546051025
18,2649,,1.8738731145858765
18,2699,,4.364198207855225
18,2735,3.1813082695007324,
19,2749,,0.9211515188217163
19,2799,,3.1927499771118164
19,2849,,1.9420592784881592
19,2879,3.1592955589294434,
20,2899,,1.9876776933670044
20,2949,,4.106194496154785
20,2999,,2.928915023803711
20,3023,2.9244182109832764,
21,3049,,2.366485595703125
21,3099,,2.247244358062744
21,3149,,1.9821710586547852
21,3167,3.095585584640503,
22,3199,,4.557534217834473
22,3249,,2.4638915061950684
22,3299,,1.846874713897705
22,3311,3.1290066242218018,
23,3349,,3.311964511871338
23,3399,,2.545433759689331
23,3449,,3.3925070762634277
23,3455,2.822573184967041,
24,3499,,3.0445733070373535
24,3549,,4.751553535461426
24,3599,,2.6467130184173584
24,3599,2.9792332649230957,
25,3649,,2.994391441345215
25,3699,,2.777346134185791
25,3743,2.926801919937134,
26,3749,,2.7426271438598633
26,3799,,1.8020092248916626
26,3849,,3.190321207046509
26,3887,2.7512710094451904,
27,3899,,1.9445898532867432
27,3949,,5.854228496551514
27,3999,,2.2407383918762207
27,4031,2.8092539310455322,
28,4049,,1.5667985677719116
28,4099,,2.363175392150879
28,4149,,2.943389415740967
28,4175,3.0250282287597656,
29,4199,,5.669323921203613
29,4249,,2.858452558517456
29,4299,,2.758929491043091
29,4319,2.717719554901123,
30,4349,,1.6990790367126465
30,4399,,4.347084999084473
30,4449,,6.051351547241211
30,4463,2.892664909362793,
31,4499,,1.6662554740905762
31,4549,,2.886199712753296
31,4599,,2.447962760925293
31,4607,2.67099666595459,
32,4649,,2.9913032054901123
32,4699,,2.7532851696014404
32,4749,,2.505436420440674
32,4751,2.7204487323760986,
33,4799,,2.2557036876678467
33,4849,,1.8266785144805908
33,4895,2.801008701324463,
34,4899,,1.2818918228149414
34,4949,,1.1696664094924927
34,4999,,2.9547719955444336
34,5039,2.6458585262298584,
35,5049,,2.7848830223083496
35,5099,,3.1766281127929688
35,5149,,0.812376856803894
35,5183,2.6674346923828125,
36,5199,,4.009938716888428
36,5249,,2.2264437675476074
36,5299,,4.035542011260986
36,5327,2.6230344772338867,
37,5349,,2.642263889312744
37,5399,,2.655050754547119
37,5449,,2.7953367233276367
37,5471,2.698413610458374,
38,5499,,4.146345615386963
38,5549,,3.4105100631713867
38,5599,,1.5518312454223633
38,5615,2.8271186351776123,
39,5649,,2.226881980895996
39,5699,,6.387059688568115
39,5749,,1.8143671751022339
39,5759,2.5412797927856445,
40,5799,,2.9179372787475586
40,5849,,1.0571235418319702
40,5899,,2.5719056129455566
40,5903,2.606417655944824,
41,5949,,3.644124984741211
41,5999,,4.09244441986084
41,6047,2.7232003211975098,
42,6049,,3.501929521560669
42,6099,,2.296318769454956
42,6149,,1.4749828577041626
42,6191,2.5101706981658936,
43,6199,,2.648103952407837
43,6249,,2.70721173286438
43,6299,,2.26222825050354
43,6335,2.568554401397705,
44,6349,,3.0909781455993652
44,6399,,1.8839619159698486
44,6449,,4.051835536956787
44,6479,2.5272347927093506,
45,6499,,3.5870180130004883
45,6549,,2.627958297729492
45,6599,,3.2967629432678223
45,6623,2.759465217590332,
46,6649,,4.031224250793457
46,6699,,2.409776449203491
46,6749,,1.6385726928710938
46,6767,2.3985209465026855,
47,6799,,3.1563801765441895
47,6849,,2.2432661056518555
47,6899,,3.1744418144226074
47,6911,2.3737566471099854,
48,6949,,3.2044618129730225
48,6999,,1.8123178482055664
48,7049,,0.8849204182624817
48,7055,2.3771023750305176,
49,7099,,1.9280874729156494
49,7149,,1.18526291847229
49,7199,,4.397156715393066
49,7199,2.50140118598938,
