epoch,step,train_loss_epoch,train_loss_step
0,49,,12.217842102050781
0,99,,4.99176025390625
0,143,7.925378799438477,
1,149,,8.774911880493164
1,199,,8.588520050048828
1,249,,8.070707321166992
1,287,7.354581356048584,
2,299,,7.308340072631836
2,349,,7.467137336730957
2,399,,3.685701608657837
2,431,6.990968227386475,
3,449,,4.97186279296875
3,499,,3.7752339839935303
3,549,,6.184767723083496
3,575,6.2490153312683105,
4,599,,6.509390354156494
4,649,,5.842990875244141
4,699,,5.713001251220703
4,719,5.768237590789795,
5,749,,4.148509979248047
5,799,,4.842099189758301
5,849,,4.809789657592773
5,863,5.355465888977051,
6,899,,4.598784446716309
6,949,,4.953000068664551
6,999,,3.561065673828125
6,1007,4.9892048835754395,
7,1049,,5.971995830535889
7,1099,,4.673126697540283
7,1149,,4.562875747680664
7,1151,4.75239372253418,
8,1199,,4.87061071395874
8,1249,,4.295469284057617
8,1295,4.50519323348999,
9,1299,,1.7805891036987305
9,1349,,5.077383041381836
9,1399,,3.4400320053100586
9,1439,4.489598274230957,
10,1449,,4.670567035675049
10,1499,,3.1548585891723633
10,1549,,3.4869439601898193
10,1583,4.068151950836182,
11,1599,,3.2693963050842285
11,1649,,5.588457107543945
11,1699,,5.6696672439575195
11,1727,4.114298343658447,
12,1749,,4.141705513000488
12,1799,,6.115545749664307
12,1849,,4.619019508361816
12,1871,3.857025146484375,
13,1899,,3.1928882598876953
13,1949,,5.265081882476807
13,1999,,6.682632923126221
13,2015,3.8816049098968506,
14,2049,,3.4396653175354004
14,2099,,3.135507106781006
14,2149,,2.9604735374450684
14,2159,3.5838212966918945,
15,2199,,3.7669167518615723
15,2249,,2.1559624671936035
15,2299,,5.618044376373291
15,2303,3.5345754623413086,
16,2349,,2.350919723510742
16,2399,,4.933762550354004
16,2447,3.5672008991241455,
17,2449,,3.229215621948242
17,2499,,4.041417121887207
17,2549,,4.31593656539917
17,2591,3.7757632732391357,
18,2599,,2.473409652709961
18,2649,,4.737004280090332
18,2699,,2.890873670578003
18,2735,3.508992910385132,
19,2749,,4.8957719802856445
19,2799,,2.240999460220337
19,2849,,5.074066162109375
19,2879,3.4800331592559814,
20,2899,,3.8472132682800293
20,2949,,4.249941349029541
20,2999,,3.5123424530029297
20,3023,3.493765354156494,
21,3049,,5.845232009887695
21,3099,,5.637486457824707
21,3149,,3.3704404830932617
21,3167,3.4630141258239746,
22,3199,,3.6590826511383057
22,3249,,1.9546124935150146
22,3299,,2.023460626602173
22,3311,3.2421560287475586,
23,3349,,2.718696355819702
23,3399,,3.261963129043579
23,3449,,4.054444313049316
23,3455,3.3412022590637207,
24,3499,,1.93008553981781
24,3549,,5.18696928024292
24,3599,,2.5112106800079346
24,3599,3.3809609413146973,
25,3649,,1.6489003896713257
25,3699,,1.6328117847442627
25,3743,3.2462985515594482,
26,3749,,2.5652787685394287
26,3799,,3.779618978500366
26,3849,,4.3012237548828125
26,3887,3.46384859085083,
27,3899,,5.041745185852051
27,3949,,1.7557493448257446
27,3999,,3.0493106842041016
27,4031,3.1547627449035645,
28,4049,,2.5563459396362305
28,4099,,4.937006950378418
28,4149,,1.7225631475448608
28,4175,3.2240843772888184,
29,4199,,2.1969552040100098
29,4249,,3.6372814178466797
29,4299,,4.142589092254639
29,4319,3.30057430267334,
30,4349,,1.8712769746780396
30,4399,,3.115382194519043
30,4449,,2.1478500366210938
30,4463,3.0109002590179443,
31,4499,,2.683946132659912
31,4549,,2.4335079193115234
31,4599,,2.635875701904297
31,4607,3.0799355506896973,
32,4649,,3.5767934322357178
32,4699,,3.2852025032043457
32,4749,,6.284143447875977
32,4751,3.259265899658203,
33,4799,,4.502190589904785
33,4849,,4.4761481285095215
33,4895,3.0538015365600586,
34,4899,,3.4515717029571533
34,4949,,4.640960693359375
34,4999,,3.8446178436279297
34,5039,3.108865976333618,
35,5049,,4.909232139587402
35,5099,,3.7382116317749023
35,5149,,2.158750534057617
35,5183,3.06669282913208,
