epoch,step,train_loss_epoch,train_loss_step
0,49,,9.563923835754395
0,99,,8.645112037658691
0,145,9.622681617736816,
1,149,,7.613856315612793
1,199,,6.393535614013672
1,249,,7.603820323944092
1,291,7.705728530883789,
2,299,,8.748039245605469
2,349,,7.897062301635742
2,399,,5.997276782989502
2,437,6.756552219390869,
3,449,,5.525271415710449
3,499,,7.2974748611450195
3,549,,5.322999000549316
3,583,5.779562950134277,
4,599,,3.1797406673431396
4,649,,4.692399978637695
4,699,,4.509428024291992
4,729,5.334618091583252,
5,749,,4.667107582092285
5,799,,4.040741920471191
5,849,,6.1707611083984375
5,875,4.84165620803833,
6,899,,2.8824398517608643
6,949,,3.204249382019043
6,999,,3.5558903217315674
6,1021,4.560103893280029,
7,1049,,3.292616844177246
7,1099,,4.115993976593018
7,1149,,1.793302059173584
7,1167,4.276894569396973,
8,1199,,3.3944849967956543
8,1249,,3.3532068729400635
8,1299,,5.25681209564209
8,1313,4.13837194442749,
9,1349,,3.1910858154296875
9,1399,,2.9944891929626465
9,1449,,3.216465473175049
9,1459,4.088792324066162,
10,1499,,7.915842056274414
10,1549,,4.8997650146484375
10,1599,,2.477377414703369
10,1605,3.94631290435791,
11,1649,,3.664562225341797
11,1699,,2.2102317810058594
11,1749,,4.077271461486816
11,1751,3.763066530227661,
12,1799,,5.197187423706055
12,1849,,3.043287992477417
12,1897,3.720402956008911,
13,1899,,3.3621249198913574
13,1949,,2.6167337894439697
13,1999,,3.84920597076416
13,2043,3.701706886291504,
14,2049,,2.8119211196899414
14,2099,,2.460493564605713
14,2149,,2.52768874168396
14,2189,3.754415512084961,
15,2199,,4.827880382537842
15,2249,,3.100432872772217
15,2299,,3.9238150119781494
15,2335,3.502560615539551,
16,2349,,3.6352429389953613
16,2399,,3.1588592529296875
16,2449,,2.560459613800049
16,2481,3.414020538330078,
17,2499,,4.734703063964844
17,2549,,2.3666510581970215
17,2599,,2.1353180408477783
17,2627,3.5968143939971924,
18,2649,,2.099820613861084
18,2699,,3.6117026805877686
18,2749,,1.4221396446228027
18,2773,3.6013588905334473,
19,2799,,2.8465018272399902
19,2849,,5.5006208419799805
19,2899,,5.419191360473633
19,2919,3.5606272220611572,
20,2949,,5.8339996337890625
20,2999,,2.3101024627685547
20,3049,,2.3874077796936035
20,3065,3.4513750076293945,
21,3099,,2.3415229320526123
21,3149,,2.109492540359497
21,3199,,4.033141136169434
21,3211,3.406646966934204,
22,3249,,3.290437698364258
22,3299,,3.4534995555877686
22,3349,,3.645400047302246
22,3357,3.4733901023864746,
23,3399,,2.7504844665527344
23,3449,,2.3577466011047363
23,3499,,2.306631565093994
23,3503,3.240734100341797,
24,3549,,4.093995094299316
24,3599,,1.8437275886535645
24,3649,,3.7459049224853516
24,3649,3.2302560806274414,
25,3699,,1.6733801364898682
25,3749,,5.490964889526367
25,3795,3.1332812309265137,
26,3799,,2.827253580093384
26,3849,,2.030545949935913
26,3899,,2.3178226947784424
26,3941,3.1265838146209717,
27,3949,,3.1469006538391113
27,3999,,3.910900592803955
27,4049,,4.154240131378174
27,4087,3.3841795921325684,
28,4099,,2.808126926422119
28,4149,,1.8570115566253662
28,4199,,2.5291008949279785
28,4233,3.207526683807373,
29,4249,,1.984041452407837
29,4299,,2.0426831245422363
29,4349,,2.2710258960723877
29,4379,3.164477825164795,
30,4399,,5.795473098754883
30,4449,,6.31072998046875
30,4499,,1.686760425567627
30,4525,3.0748517513275146,
31,4549,,3.910576343536377
31,4599,,2.6281166076660156
31,4649,,1.7457726001739502
31,4671,3.0857126712799072,
32,4699,,2.271596670150757
32,4749,,2.9421563148498535
32,4799,,3.5781829357147217
32,4817,3.005756139755249,
33,4849,,2.4760868549346924
33,4899,,4.697938919067383
33,4949,,3.3502542972564697
33,4963,3.165327548980713,
34,4999,,5.471686840057373
34,5049,,3.729726791381836
34,5099,,1.7334575653076172
34,5109,3.027355670928955,
35,5149,,3.2428512573242188
35,5199,,2.204052209854126
35,5249,,5.050555229187012
35,5255,2.970618724822998,
36,5299,,3.76900577545166
36,5349,,2.7419722080230713
36,5399,,4.163840293884277
36,5401,3.0021862983703613,
37,5449,,2.318255662918091
37,5499,,2.2281746864318848
37,5547,2.9358391761779785,
38,5549,,4.512601852416992
38,5599,,3.6696979999542236
38,5649,,2.116030216217041
38,5693,3.038815498352051,
39,5699,,2.478208065032959
39,5749,,3.7197728157043457
39,5799,,2.1845085620880127
39,5839,2.880687713623047,
40,5849,,2.686923027038574
40,5899,,2.771688938140869
40,5949,,2.5624961853027344
40,5985,2.8482043743133545,
41,5999,,3.017021656036377
41,6049,,1.962733507156372
41,6099,,4.917823791503906
41,6131,2.8650996685028076,
42,6149,,2.2546658515930176
42,6199,,1.8473362922668457
42,6249,,2.9750680923461914
42,6277,2.9893875122070312,
43,6299,,1.9926199913024902
43,6349,,2.9691879749298096
43,6399,,2.699042320251465
43,6423,2.9588654041290283,
44,6449,,1.349890947341919
44,6499,,3.426928758621216
44,6549,,2.0872819423675537
44,6569,2.875490188598633,
45,6599,,4.6435041427612305
45,6649,,2.8973214626312256
45,6699,,6.04831075668335
45,6715,2.8991880416870117,
