epoch,step,train_loss_epoch,train_loss_step
0,49,,11.884438514709473
0,99,,5.916982173919678
0,143,10.10196304321289,
1,149,,15.523648262023926
1,199,,8.62318229675293
1,249,,5.1049699783325195
1,287,7.921347618103027,
2,299,,5.591736316680908
2,349,,6.468790054321289
2,399,,5.62776517868042
2,431,6.807930946350098,
3,449,,4.44598913192749
3,499,,4.028563976287842
3,549,,4.710014820098877
3,575,5.807581424713135,
4,599,,3.1341938972473145
4,649,,4.747729301452637
4,699,,5.68943977355957
4,719,5.270388126373291,
5,749,,5.853032112121582
5,799,,3.2977449893951416
5,849,,4.977114677429199
5,863,4.871068954467773,
6,899,,1.9594249725341797
6,949,,1.7045093774795532
6,999,,3.5286946296691895
6,1007,4.500982284545898,
7,1049,,4.211883544921875
7,1099,,3.5300402641296387
7,1149,,4.9610395431518555
7,1151,4.277298450469971,
8,1199,,4.604063987731934
8,1249,,5.631099700927734
8,1295,4.145341396331787,
9,1299,,6.348113059997559
9,1349,,2.5316972732543945
9,1399,,10.517333984375
9,1439,4.041454315185547,
10,1449,,3.5891659259796143
10,1499,,3.887958526611328
10,1549,,3.088548183441162
10,1583,3.7348852157592773,
11,1599,,2.5483241081237793
11,1649,,2.038886547088623
11,1699,,4.497345924377441
11,1727,3.5953662395477295,
12,1749,,2.6707305908203125
12,1799,,5.519904136657715
12,1849,,3.7258739471435547
12,1871,3.666987419128418,
13,1899,,8.956789016723633
13,1949,,6.714479446411133
13,1999,,7.780425548553467
13,2015,3.616481304168701,
14,2049,,2.654743194580078
14,2099,,3.3078086376190186
14,2149,,3.9202752113342285
14,2159,3.448793888092041,
15,2199,,3.013810634613037
15,2249,,4.106881618499756
15,2299,,2.4267358779907227
15,2303,3.515385150909424,
16,2349,,2.7268269062042236
16,2399,,5.499073028564453
16,2447,3.384113311767578,
17,2449,,3.146204710006714
17,2499,,3.986238718032837
17,2549,,3.140993595123291
17,2591,3.4318630695343018,
18,2599,,1.854879379272461
18,2649,,3.8731749057769775
18,2699,,4.597628593444824
18,2735,3.3414416313171387,
19,2749,,4.854744911193848
19,2799,,1.871099591255188
19,2849,,5.13688325881958
19,2879,3.3042008876800537,
20,2899,,2.9025449752807617
20,2949,,3.308591842651367
20,2999,,3.320375919342041
20,3023,3.294726848602295,
21,3049,,1.1690852642059326
21,3099,,3.4808578491210938
21,3149,,4.260946273803711
21,3167,3.293519973754883,
22,3199,,5.316043853759766
22,3249,,4.698380470275879
22,3299,,2.127230167388916
22,3311,3.3385376930236816,
23,3349,,3.8501696586608887
23,3399,,7.197770118713379
23,3449,,2.0507678985595703
23,3455,3.084571361541748,
24,3499,,3.014920234680176
24,3549,,4.007299900054932
24,3599,,3.2545783519744873
24,3599,3.087585687637329,
25,3649,,2.130802631378174
25,3699,,2.6192216873168945
25,3743,3.2482385635375977,
26,3749,,3.990541934967041
26,3799,,2.2881438732147217
26,3849,,3.1944305896759033
26,3887,3.1944241523742676,
27,3899,,3.9008655548095703
27,3949,,2.9751627445220947
27,3999,,1.382293939590454
27,4031,3.0727505683898926,
28,4049,,4.07331657409668
28,4099,,5.242255687713623
28,4149,,1.9694987535476685
28,4175,3.1308016777038574,
29,4199,,4.891313076019287
29,4249,,1.2430322170257568
29,4299,,2.3878579139709473
29,4319,3.022602081298828,
30,4349,,3.53037691116333
30,4399,,2.7816405296325684
30,4449,,2.738419771194458
30,4463,2.9777934551239014,
31,4499,,1.5454367399215698
31,4549,,2.259140968322754
31,4599,,1.9894676208496094
31,4607,2.908975839614868,
32,4649,,3.5711913108825684
32,4699,,3.766692638397217
32,4749,,5.037101745605469
32,4751,3.0167043209075928,
33,4799,,3.1267099380493164
33,4849,,3.289034128189087
33,4895,3.0917441844940186,
34,4899,,2.28914475440979
34,4949,,3.6645004749298096
34,4999,,2.7225959300994873
34,5039,2.9508912563323975,
35,5049,,3.157165050506592
35,5099,,4.753596305847168
35,5149,,4.036705017089844
35,5183,2.9776697158813477,
36,5199,,2.175081729888916
36,5249,,4.131059169769287
36,5299,,3.3452181816101074
36,5327,3.0551276206970215,
