epoch,step,train_loss_epoch,train_loss_step
0,49,,13.056524276733398
0,99,,6.129223823547363
0,143,9.541224479675293,
1,149,,8.222479820251465
1,199,,6.220446586608887
1,249,,7.582786560058594
1,287,7.721715450286865,
2,299,,4.628073692321777
2,349,,5.939361572265625
2,399,,5.041273593902588
2,431,7.323971271514893,
3,449,,8.94332504272461
3,499,,7.17701530456543
3,549,,5.972939491271973
3,575,7.074238300323486,
4,599,,9.838281631469727
4,649,,8.723528861999512
4,699,,6.387355804443359
4,719,6.392551422119141,
5,749,,5.495566368103027
5,799,,4.109745979309082
5,849,,5.45362663269043
5,863,5.453237533569336,
6,899,,5.509926795959473
6,949,,6.062155723571777
6,999,,5.008232116699219
6,1007,5.09025764465332,
7,1049,,5.998688697814941
7,1099,,7.718806743621826
7,1149,,5.758563041687012
7,1151,4.764745712280273,
8,1199,,7.100486755371094
8,1249,,2.6085286140441895
8,1295,4.484783172607422,
9,1299,,4.505852222442627
9,1349,,2.211832046508789
9,1399,,3.4179940223693848
9,1439,4.325191020965576,
10,1449,,3.2796804904937744
10,1499,,2.0714149475097656
10,1549,,4.07540225982666
10,1583,4.04539155960083,
11,1599,,3.3394455909729004
11,1649,,5.992949485778809
11,1699,,5.083887577056885
11,1727,4.003701210021973,
12,1749,,3.920646905899048
12,1799,,3.3427376747131348
12,1849,,1.2681291103363037
12,1871,3.7821338176727295,
13,1899,,5.084737300872803
13,1949,,2.433166980743408
13,1999,,3.480412721633911
13,2015,3.7667155265808105,
14,2049,,2.5998458862304688
14,2099,,1.9311268329620361
14,2149,,1.9248578548431396
14,2159,3.762605905532837,
15,2199,,2.403107166290283
15,2249,,2.2239866256713867
15,2299,,4.8995361328125
15,2303,3.7577905654907227,
16,2349,,3.185117244720459
16,2399,,3.83504319190979
16,2447,3.658031940460205,
17,2449,,3.6774044036865234
17,2499,,2.825624465942383
17,2549,,2.790775775909424
17,2591,3.5802807807922363,
18,2599,,2.323882579803467
18,2649,,5.529614448547363
18,2699,,2.688082456588745
18,2735,3.407174825668335,
19,2749,,2.0861964225769043
19,2799,,3.88124418258667
19,2849,,1.6442666053771973
19,2879,3.297429323196411,
20,2899,,6.587136745452881
20,2949,,3.1494126319885254
20,2999,,2.4829907417297363
20,3023,3.4847421646118164,
21,3049,,3.6055054664611816
21,3099,,4.009026527404785
21,3149,,3.0977468490600586
21,3167,3.493628740310669,
22,3199,,1.1287250518798828
22,3249,,2.933345317840576
22,3299,,1.7584373950958252
22,3311,3.2370119094848633,
23,3349,,3.9908084869384766
23,3399,,4.539956092834473
23,3449,,4.583127021789551
23,3455,3.285309314727783,
24,3499,,5.009799003601074
24,3549,,1.9369935989379883
24,3599,,3.5616440773010254
24,3599,3.2968931198120117,
25,3649,,1.7436749935150146
25,3699,,3.5847697257995605
25,3743,3.211101531982422,
26,3749,,3.5428171157836914
26,3799,,2.7125260829925537
26,3849,,3.8240294456481934
26,3887,3.1073501110076904,
27,3899,,2.624800443649292
27,3949,,4.108895778656006
27,3999,,3.336289644241333
27,4031,3.0903446674346924,
28,4049,,3.1283512115478516
28,4099,,2.454768419265747
28,4149,,1.9072229862213135
28,4175,3.0497586727142334,
29,4199,,3.62323260307312
29,4249,,1.2775802612304688
29,4299,,4.810727119445801
29,4319,3.2162275314331055,
30,4349,,2.614811420440674
30,4399,,2.6749956607818604
30,4449,,3.8221797943115234
30,4463,3.035355567932129,
31,4499,,3.089989185333252
31,4549,,2.2451775074005127
31,4599,,2.767287254333496
31,4607,2.911407232284546,
32,4649,,3.301164150238037
32,4699,,2.3291163444519043
32,4749,,3.2491464614868164
32,4751,2.9734485149383545,
33,4799,,3.3630099296569824
33,4849,,3.505568027496338
33,4895,3.0512845516204834,
34,4899,,2.2968316078186035
34,4949,,1.8123438358306885
34,4999,,1.9525938034057617
34,5039,3.0211691856384277,
35,5049,,1.263956069946289
35,5099,,1.3139716386795044
35,5149,,1.943987488746643
35,5183,2.8025529384613037,
36,5199,,3.4315905570983887
36,5249,,5.110076904296875
36,5299,,3.9678955078125
36,5327,2.9348347187042236,
37,5349,,2.753484010696411
37,5399,,1.2582857608795166
37,5449,,1.9596829414367676
37,5471,2.97977352142334,
38,5499,,3.4321746826171875
38,5549,,2.7934935092926025
38,5599,,1.6547056436538696
38,5615,2.883180618286133,
39,5649,,1.4380325078964233
39,5699,,3.492043972015381
39,5749,,2.3457412719726562
39,5759,2.8790128231048584,
40,5799,,2.523163318634033
40,5849,,2.156259536743164
40,5899,,3.333890914916992
40,5903,2.819742441177368,
