epoch,step,train_loss_epoch,train_loss_step
0,49,,1.0948467254638672
0,99,,1.0864393711090088
0,149,,0.6554211974143982
0,199,,0.866580069065094
0,201,1.0538526773452759,
1,249,,1.0994246006011963
1,299,,0.8812779188156128
1,349,,0.8861132860183716
1,399,,0.9874586462974548
1,403,0.9981064796447754,
2,449,,0.7763832807540894
2,499,,1.071427583694458
2,549,,0.8214547634124756
2,599,,1.947603464126587
2,605,0.9454461336135864,
3,649,,0.7104551792144775
3,699,,0.9207372069358826
3,749,,0.8926135301589966
3,799,,0.6789360642433167
3,807,0.8596368432044983,
4,849,,0.8742607831954956
4,899,,0.5384014248847961
4,949,,0.6342334747314453
4,999,,0.7151421308517456
4,1009,0.7177475094795227,
5,1049,,0.7680348753929138
5,1099,,0.7154592275619507
5,1149,,0.4645182192325592
5,1199,,0.7825920581817627
5,1211,0.6384539604187012,
6,1249,,0.4956875145435333
6,1299,,0.8275564908981323
6,1349,,0.40982291102409363
6,1399,,0.5418832898139954
6,1413,0.5413675308227539,
7,1449,,0.5180042386054993
7,1499,,0.43565064668655396
7,1549,,0.8849377632141113
7,1599,,0.26718971133232117
7,1615,0.5167083144187927,
8,1649,,0.33773908019065857
8,1699,,0.5236812233924866
8,1749,,0.6396628618240356
8,1799,,0.633851945400238
8,1817,0.49987882375717163,
9,1849,,0.41540664434432983
9,1899,,0.46185940504074097
9,1949,,0.3269972801208496
9,1999,,0.5097846984863281
9,2019,0.48214197158813477,
10,2049,,0.5503484606742859
10,2099,,0.23426133394241333
10,2149,,0.19909624755382538
10,2199,,0.516076385974884
10,2221,0.46249035000801086,
11,2249,,0.48829981684684753
11,2299,,0.19663602113723755
11,2349,,0.17563007771968842
11,2399,,0.2402338981628418
11,2423,0.4454427659511566,
12,2449,,1.358606219291687
12,2499,,0.3552955985069275
12,2549,,0.2602698504924774
12,2599,,0.5069493055343628
12,2625,0.4500788748264313,
13,2649,,0.4776766300201416
13,2699,,0.3215276002883911
13,2749,,0.2448553889989853
13,2799,,0.7572916746139526
13,2827,0.43064555525779724,
14,2849,,0.4379224181175232
14,2899,,0.3005317449569702
14,2949,,0.4424077570438385
14,2999,,0.3110600709915161
14,3029,0.40238258242607117,
15,3049,,0.4781476557254791
15,3099,,0.2161295861005783
15,3149,,0.857485294342041
15,3199,,0.5781766772270203
15,3231,0.41159096360206604,
16,3249,,0.37890613079071045
16,3299,,0.2514723241329193
16,3349,,0.3913705348968506
16,3399,,0.35373541712760925
16,3433,0.39198780059814453,
17,3449,,0.39487242698669434
17,3499,,0.3222084045410156
17,3549,,0.3406599462032318
17,3599,,0.14667221903800964
17,3635,0.3814660310745239,
18,3649,,0.29573920369148254
18,3699,,0.3789029121398926
18,3749,,0.2657290995121002
18,3799,,0.3528154492378235
18,3837,0.39071086049079895,
19,3849,,0.37523236870765686
19,3899,,0.6241830587387085
19,3949,,0.36308783292770386
19,3999,,0.21167364716529846
19,4039,0.39272043108940125,
20,4049,,0.3702179789543152
20,4099,,0.16470573842525482
20,4149,,0.12391573935747147
20,4199,,0.2938089370727539
20,4241,0.3792022466659546,
21,4249,,0.4156179130077362
21,4299,,0.24047914147377014
21,4349,,0.30441921949386597
21,4399,,0.22611619532108307
21,4443,0.3659358620643616,
22,4449,,0.35101965069770813
22,4499,,0.2070980817079544
22,4549,,0.13683994114398956
22,4599,,0.5799121856689453
22,4645,0.37660136818885803,
23,4649,,0.19748441874980927
23,4699,,0.2547447085380554
23,4749,,0.3468382954597473
23,4799,,0.6320547461509705
23,4847,0.38303500413894653,
24,4849,,0.23124960064888
24,4899,,0.5429691076278687
24,4949,,0.23022572696208954
24,4999,,0.21027247607707977
24,5049,,0.30131569504737854
24,5049,0.3760758340358734,
25,5099,,0.3372959494590759
25,5149,,0.2788991630077362
25,5199,,0.16259661316871643
25,5249,,0.36377787590026855
25,5251,0.3483351767063141,
26,5299,,0.20679661631584167
26,5349,,0.21907955408096313
26,5399,,0.2961108684539795
26,5449,,0.253437876701355
26,5453,0.3362218141555786,
27,5499,,0.35084283351898193
27,5549,,0.25259852409362793
27,5599,,0.37418442964553833
27,5649,,0.16688990592956543
27,5655,0.33829864859580994,
28,5699,,0.2352386862039566
28,5749,,0.6094131469726562
28,5799,,0.48679882287979126
28,5849,,0.41726580262184143
28,5857,0.34600305557250977,
29,5899,,0.4733220338821411
29,5949,,0.1429423689842224
29,5999,,0.3337554335594177
29,6049,,0.6400309205055237
29,6059,0.35960638523101807,
30,6099,,0.3115328252315521
30,6149,,0.4279913306236267
30,6199,,0.3373889923095703
30,6249,,0.1489693969488144
30,6261,0.3324165344238281,
31,6299,,0.4062885642051697
31,6349,,0.4042593836784363
31,6399,,0.27208295464515686
31,6449,,0.3960644602775574
31,6463,0.3363889455795288,
32,6499,,0.3548116087913513
32,6549,,0.2580832540988922
32,6599,,0.3950291574001312
32,6649,,0.38139230012893677
32,6665,0.33878031373023987,
33,6699,,0.642487645149231
33,6749,,0.09693018347024918
33,6799,,0.3641645908355713
33,6849,,0.23207208514213562
33,6867,0.3244616687297821,
34,6899,,0.18938446044921875
34,6949,,0.4459007978439331
34,6999,,0.23341289162635803
34,7049,,0.5237709283828735
34,7069,0.3112916052341461,
35,7099,,0.4142569303512573
35,7149,,0.21055197715759277
35,7199,,0.10961902141571045
35,7249,,0.20614701509475708
35,7271,0.3348731994628906,
36,7299,,0.2166026532649994
36,7349,,0.1540313959121704
36,7399,,0.1841111034154892
36,7449,,0.34134331345558167
36,7473,0.33293962478637695,
37,7499,,0.48563796281814575
37,7549,,0.30566221475601196
37,7599,,0.20482024550437927
37,7649,,0.2537069618701935
37,7675,0.32526618242263794,
38,7699,,0.1445925235748291
38,7749,,0.356212317943573
38,7799,,0.15000763535499573
38,7849,,0.17731153964996338
38,7877,0.30730053782463074,
39,7899,,0.15731075406074524
39,7949,,0.33188652992248535
39,7999,,0.30573028326034546
39,8049,,0.05423589423298836
39,8079,0.3176320493221283,
40,8099,,0.3929159641265869
40,8149,,0.6356736421585083
40,8199,,0.24730199575424194
40,8249,,0.3537740707397461
40,8281,0.3160252571105957,
41,8299,,0.14387229084968567
41,8349,,0.2974672019481659
41,8399,,0.2912921905517578
41,8449,,0.22959470748901367
41,8483,0.31304964423179626,
42,8499,,0.23745974898338318
42,8549,,0.25924795866012573
42,8599,,0.26270008087158203
42,8649,,0.41850918531417847
42,8685,0.3065314292907715,
43,8699,,0.42807984352111816
43,8749,,0.29310697317123413
43,8799,,0.6166579723358154
43,8849,,0.24901509284973145
43,8887,0.3192179799079895,
44,8899,,0.25781822204589844
44,8949,,0.4580705463886261
44,8999,,0.4152477979660034
44,9049,,0.3713626563549042
44,9089,0.3146638870239258,
45,9099,,0.3573669195175171
45,9149,,0.7399563789367676
45,9199,,0.11921288073062897
45,9249,,0.3947005569934845
45,9291,0.3160609304904938,
46,9299,,0.5539489388465881
46,9349,,0.17667460441589355
46,9399,,0.1887509524822235
46,9449,,0.3078538775444031
46,9493,0.2987111210823059,
47,9499,,0.3743855953216553
47,9549,,0.2827914357185364
47,9599,,0.3416559100151062
47,9649,,0.4151185154914856
47,9695,0.30936306715011597,
48,9699,,0.07755877077579498
48,9749,,0.17827709019184113
48,9799,,0.3195003867149353
48,9849,,0.6067030429840088
48,9897,0.2914263904094696,
49,9899,,0.22704842686653137
49,9949,,0.37099647521972656
49,9999,,0.3750688135623932
49,10049,,0.24816039204597473
49,10099,,0.2882220447063446
49,10099,0.29442262649536133,
