epoch,step,train_loss_epoch,train_loss_step,val_loss_epoch,val_loss_step
0,49,,0.7617495059967041,,
0,99,,0.6702842116355896,,
,0,,,,0.8640131950378418
,1,,,,0.9347883462905884
,2,,,,1.1027376651763916
,3,,,,0.5006556510925293
,4,,,,1.2229130268096924
0,142,,,0.8872607350349426,
0,142,1.0499727725982666,,,
1,149,,0.8314774632453918,,
1,199,,0.834071159362793,,
1,249,,0.5895394086837769,,
,5,,,,0.7843668460845947
,6,,,,0.9548593163490295
,7,,,,0.9856534600257874
,8,,,,0.5198954343795776
,9,,,,0.9972265958786011
1,285,,,0.8295350074768066,
1,285,1.0017894506454468,,,
2,299,,0.6933655738830566,,
2,349,,0.7753723859786987,,
2,399,,1.5367447137832642,,
,10,,,,0.7181621193885803
,11,,,,0.9103903770446777
,12,,,,0.939233660697937
,13,,,,0.5200091600418091
,14,,,,0.9685224294662476
2,428,,,0.7913292646408081,
2,428,0.9530799984931946,,,
3,449,,0.9873622059822083,,
3,499,,0.8141480684280396,,
3,549,,0.7256336212158203,,
,15,,,,0.5407723188400269
,16,,,,0.8185572624206543
,17,,,,0.8770644664764404
,18,,,,0.43320193886756897
,19,,,,1.0250827074050903
3,571,,,0.7026636004447937,
3,571,0.8864637017250061,,,
4,599,,0.7965918779373169,,
4,649,,0.9631180167198181,,
4,699,,0.5572006702423096,,
,20,,,,0.4088897407054901
,21,,,,0.8067288994789124
,22,,,,0.80133455991745
,23,,,,0.39414122700691223
,24,,,,1.0208485126495361
4,714,,,0.6439922451972961,
4,714,0.8267549276351929,,,
5,749,,0.5388698577880859,,
5,799,,0.6228628158569336,,
5,849,,0.7259348630905151,,
,25,,,,0.43239259719848633
,26,,,,0.7659997940063477
,27,,,,0.8171265125274658
,28,,,,0.3739672899246216
,29,,,,1.052197813987732
5,857,,,0.6422135829925537,
5,857,0.7856271266937256,,,
6,899,,1.1405580043792725,,
6,949,,1.0177407264709473,,
6,999,,0.808408260345459,,
,30,,,,0.3152158856391907
,31,,,,0.6562118530273438
,32,,,,0.6433796882629395
,33,,,,0.3296666145324707
,34,,,,0.8421787023544312
6,1000,,,0.5212230682373047,
6,1000,0.7309790849685669,,,
7,1049,,0.588067352771759,,
7,1099,,0.7682258486747742,,
,35,,,,0.3031296133995056
,36,,,,0.6191017627716064
,37,,,,0.6620699763298035
,38,,,,0.3561772108078003
,39,,,,0.8550017476081848
7,1143,,,0.5215868949890137,
7,1143,0.6887414455413818,,,
8,1149,,0.5729866623878479,,
8,1199,,0.4055183529853821,,
8,1249,,0.5124334096908569,,
,40,,,,0.3093124032020569
,41,,,,0.5755388140678406
,42,,,,0.6788887977600098
,43,,,,0.3666091561317444
,44,,,,0.8675748109817505
8,1286,,,0.5205438137054443,
8,1286,0.6274289488792419,,,
9,1299,,0.5608387589454651,,
9,1349,,1.491698980331421,,
9,1399,,0.5496217608451843,,
,45,,,,0.3063512444496155
,46,,,,0.5700098276138306
,47,,,,0.6537936925888062
,48,,,,0.2810724973678589
