,cell_line,drug_id,y_true,y_pred,sigma_epi,sigma_ale,sigma_tot,mc_T,cycle,Known_Drug,strategy
0,LAMA-84,5352062,-6.228207690368444,-5.685116,0.33196154,0.6723167,0.74980545,50,1,False,aleatoric
1,LAMA-84,387447,-5.833630576600336,-5.180243,0.30018425,0.6303588,0.6981854,50,1,False,aleatoric
2,LAMA-84,13342,-5.425097796143182,-5.4691815,0.34842843,0.7562151,0.83262455,50,1,False,aleatoric
3,LAMA-84,5311497,-4.5803769400678025,-4.9014077,0.5533476,0.7921279,0.9662609,50,1,False,aleatoric
4,LAMA-84,6914657,-6.542224375708257,-5.495719,0.5546652,0.9510691,1.1009932,50,1,False,aleatoric
5,LAMA-84,Eg5_9814,-5.239130196898018,-4.7222633,0.43238625,0.79896766,0.90846413,50,1,False,aleatoric
6,LAMA-84,11977753,-3.04489801700234,-2.3678706,0.6085936,0.8257013,1.0257528,50,1,False,aleatoric
7,LAMA-84,457193,-5.308985817562903,-4.9436235,0.34932497,0.690116,0.7734908,50,1,False,aleatoric
8,LAMA-84,135539077,-4.009031168580052,-3.59241,0.296293,0.55771637,0.63153553,50,1,False,aleatoric
9,LAMA-84,11364421,-4.531112662561316,-3.7590322,0.3161446,0.68375254,0.7533027,50,1,False,aleatoric
10,LAMA-84,126941,-3.9111989110540426,-2.9647076,0.3979914,0.7708846,0.8675599,50,1,False,aleatoric
11,LAMA-84,234820,-2.62692377562638,-2.0887437,0.19935484,0.42778292,0.471954,50,1,False,aleatoric
12,LAMA-84,353472,0.2154545783349732,0.19889247,0.2874732,0.46015182,0.54256845,50,1,False,aleatoric
13,LAMA-84,41867,-1.2618383177484322,-1.9779621,0.34789166,0.59098464,0.68577796,50,1,False,aleatoric
14,LAMA-84,46926350,-3.695487031465998,-3.7474766,0.19827503,0.48932877,0.5279731,50,1,False,aleatoric
15,LAMA-84,643462,-0.1792295423464533,-1.577369,0.57506657,0.710568,0.9141162,50,1,False,aleatoric
16,LAMA-84,GDSC_741909,-2.2967839799386343,-0.9363656,0.40562046,0.8398182,0.93264276,50,1,False,aleatoric
17,LAMA-84,GDSC_743380,-2.762235696347261,-0.94503766,0.5340339,0.79698336,0.9593616,50,1,False,aleatoric
18,LAMA-84,6505803,-1.5100808734099824,-1.2631515,0.46337622,0.640048,0.7901766,50,1,False,aleatoric
19,LAMA-84,11707110,-4.097460896096979,-3.9883404,0.8845214,1.5351459,1.7717367,50,1,False,aleatoric
20,LAMA-84,126565,-1.6452024601490762,-1.6049762,0.51460433,0.64658356,0.8263703,50,1,False,aleatoric
21,LAMA-84,176870,1.510479930303525,1.2788574,0.5387202,0.9601801,1.1009837,50,1,False,aleatoric
22,LAMA-84,5328940,-4.789817721645152,-3.591153,1.4246407,2.6392133,2.9991746,50,1,True,aleatoric
23,LAMA-84,6253,-2.9375016594608967,-1.2869626,1.0138866,1.0848459,1.4848759,50,1,False,aleatoric
24,LAMA-84,644241,-5.806451838947318,-3.9343677,1.6565933,2.7081056,3.174608,50,1,True,aleatoric
25,LAMA-84,72943187,-0.454029665587875,0.24159807,0.32467002,0.6174877,0.6976401,50,1,False,aleatoric
26,LAMA-84,25262965,-2.304806707609984,-1.777461,0.3019826,0.59872496,0.67057073,50,1,False,aleatoric
27,LAMA-84,148124,-5.175661385300544,-5.187243,0.48313636,0.7840225,0.92092997,50,1,False,aleatoric
28,LAMA-84,397888,-3.591847142034974,-2.3074872,0.46287984,0.71524334,0.851957,50,1,False,aleatoric
29,LAMA-84,4212,-1.492792534762836,-1.6007895,0.7549018,0.8726901,1.1538911,50,1,False,aleatoric
30,LAMA-84,452548,-1.7983772345997853,-1.1213881,0.55949444,0.6803682,0.8808717,50,1,False,aleatoric
31,LAMA-84,60700,-0.7878739418722182,-1.377244,0.5896637,0.70121336,0.9161896,50,1,False,aleatoric
32,LAMA-84,87371,1.3862482649956838,1.5835745,0.34066927,0.61892855,0.70649,50,1,False,aleatoric
33,LAMA-84,CDK9_5038,-4.63614975040009,-3.42879,0.29351518,0.5952186,0.6636538,50,1,False,aleatoric
34,LAMA-84,GDSC_123829,-0.22423844860833,0.24692066,0.23133862,0.49467602,0.546097,50,1,False,aleatoric
35,LAMA-84,GDSC_150412,0.2525663027738728,1.3203833,0.26030517,0.5132699,0.57550395,50,1,False,aleatoric
36,LAMA-84,GDSC_1818,-3.817489678378106,-4.104501,0.40919125,0.76423126,0.86688346,50,1,False,aleatoric
37,LAMA-84,GDSC_50869,0.0152278469941473,0.6177802,0.29768622,0.51633126,0.5959992,50,1,False,aleatoric
38,LAMA-84,GDSC_630600,-0.1184458345734404,0.35948056,0.25485823,0.51139534,0.57138246,50,1,False,aleatoric
39,LAMA-84,GDSC_667880,-0.4734586137714597,0.4593087,0.31547782,0.5555883,0.6389089,50,1,False,aleatoric
40,LAMA-84,11455910,1.1958487308690435,-0.053210665,0.3569765,0.82815915,0.9018203,50,1,False,aleatoric
41,LAMA-84,16224745,0.3433131009382947,0.23549984,0.62792253,0.62599456,0.8866544,50,1,False,aleatoric
42,LAMA-84,59472121,0.5421296145088074,0.7618116,0.48578948,0.8453198,0.9749651,50,1,False,aleatoric
43,LAMA-84,72201027,2.608093892700893,1.5042992,0.3866181,0.48412144,0.619554,50,1,False,aleatoric
44,LAMA-84,PBD-288,-2.0019831408877784,-1.6028812,0.27093938,0.49623808,0.56538516,50,1,False,aleatoric
45,LAMA-84,24866313,-0.5924490708049515,-0.07292851,1.0654645,1.6417022,1.9571409,50,1,False,aleatoric
46,LAMA-84,5702198,1.7139546076920915,1.4585943,0.52124316,0.8357646,0.9849857,50,1,False,aleatoric
47,LAMA-84,51001932,4.552396155373825,1.5228926,1.1856939,1.582792,1.9776503,50,1,False,aleatoric
48,LAMA-84,60838,0.4717365103921085,0.7028866,0.42338198,0.5672731,0.7078496,50,1,False,aleatoric
49,LAMA-84,46926973,2.999287465551059,2.6716955,0.3056623,0.5918098,0.6660843,50,1,False,aleatoric
50,LAMA-84,24771867,-1.3287011102529749,-1.9137901,0.835158,1.4102439,1.6389865,50,1,False,aleatoric
51,LAMA-84,11719003,0.0717532596196018,0.5058905,0.78685504,0.8722632,1.1747272,50,1,False,aleatoric
52,LAMA-84,1401,2.8100812626647245,1.9182965,0.4298233,0.6485808,0.77807784,50,1,False,aleatoric
53,LAMA-84,24978538,-0.0766551249648308,0.4028011,0.80136704,1.0079277,1.2876751,50,1,False,aleatoric
54,LAMA-84,10184653,0.9857368419022278,0.88416964,0.27052793,0.43877244,0.5154674,50,1,False,aleatoric
55,LAMA-84,60750,-3.981784695952829,-4.233031,0.4167094,0.8497833,0.9464557,50,1,False,aleatoric
56,LAMA-84,71268957,2.3444649333583163,1.8907449,0.5794665,0.6397344,0.86315787,50,1,False,aleatoric
57,LAMA-84,11626560,-0.6162589902816256,-0.8440219,0.6181942,1.283558,1.4246702,50,1,False,aleatoric
58,LAMA-84,10384072,0.8227279827278156,0.39800036,0.44890738,0.51037234,0.6797042,50,1,False,aleatoric
59,LAMA-84,10385095,-0.0580595292134089,-0.494665,0.28765792,0.5776088,0.6452744,50,1,False,aleatoric
60,LAMA-84,11152667,-2.068099597903037,-2.1140728,0.80551714,0.8575789,1.1765624,50,1,False,aleatoric
61,LAMA-84,11178236,-4.021496524410097,-3.6551342,0.45949483,0.95628023,1.0609465,50,1,False,aleatoric
62,LAMA-84,11228183,0.7984406976726454,0.92820066,0.50057954,0.9040169,1.0333569,50,1,False,aleatoric
63,LAMA-84,11327430,2.3304836073102444,1.558284,0.16541708,0.36480513,0.4005566,50,1,False,aleatoric
64,LAMA-84,11609586,1.719734617201554,1.8627884,0.3363479,0.5858688,0.6755532,50,1,False,aleatoric
65,LAMA-84,11624601,2.5175085601613154,2.3254688,0.3136948,0.4482323,0.54709834,50,1,False,aleatoric
66,LAMA-84,11634725,-0.11729570441438,0.3730076,0.83098024,0.9636643,1.2724689,50,1,False,aleatoric
67,LAMA-84,118693659,-2.021810892722028,-1.6941948,0.61899203,0.9605403,1.1427112,50,1,False,aleatoric
68,LAMA-84,122540908,-0.7176482218948594,-0.14336185,0.18358016,0.48072797,0.51458824,50,1,False,aleatoric
69,LAMA-84,135400873,2.117214930501223,1.7867978,0.46180758,0.5997171,0.7569193,50,1,False,aleatoric
70,LAMA-84,135440466,1.5417634748806424,0.78504324,0.51686347,0.71808106,0.88475317,50,1,False,aleatoric
