cell_line,drug_id,y_true,y_pred,var_epi,var_ale,var_total,std_total,ci95_low,ci95_high,uncert_z,abs_error,T,seed
SW1783,104842,-5.526093936140531,-5.7582073,5.6211195,3.8804061,9.501526,3.0824544,-11.799818,0.2834034,0.65056676,0.2321133850264614,50,42
SW1783,148124,-5.651721760488138,-6.5305543,6.7652826,4.081951,10.847234,3.293514,-12.985842,-0.07526684,1.5900427,0.8788325340980441,50,42
SW1783,387447,-5.210039392701867,-7.4963365,5.9861536,3.9277248,9.913878,3.148631,-13.667654,-1.3250194,0.94513464,2.2862970674116587,50,42
SW1783,6914657,-3.526365979897281,-5.7845516,8.234391,3.8281732,12.062565,3.4731205,-12.591867,1.0227647,2.3895135,2.2581856405861176,50,42
SW1783,11977753,-3.819962922371759,-4.869998,5.4868054,3.5475585,9.034364,3.0057218,-10.761213,1.0212169,0.30901164,1.0500350558386904,50,42
SW1783,457193,-5.3011200688013735,-6.310737,6.7405577,3.7410145,10.481572,3.2375257,-12.656288,0.034813404,1.3408256,1.0096170642247495,50,42
SW1783,126941,0.1763524716079986,-5.4718,5.1076016,3.761845,8.869447,2.9781616,-11.308996,0.36539698,0.18633452,5.648152322071866,50,42
SW1783,135539077,-4.848950293987388,-5.7675757,3.9567301,3.78563,7.74236,2.7825096,-11.221294,-0.31385708,-0.6845588,0.9186254468268213,50,42
SW1783,41867,-1.173500437700025,-4.77199,4.26911,3.623416,7.892526,2.809364,-10.278343,0.73436403,-0.565023,3.59848938468767,50,42
SW1783,91826516,0.1932444300454575,-5.289682,3.8119354,3.6748984,7.4868336,2.736208,-10.652649,0.07328558,-0.8906582,5.482926341513964,50,42
SW1783,6505803,-1.9248378311792809,-5.5204997,4.8324986,3.7407026,8.573201,2.9280028,-11.259386,0.21838617,-0.03693388,3.5956618750890295,50,42
SW1783,126565,-1.5934865961089548,-5.043135,4.614745,3.8393497,8.454095,2.9075925,-10.742017,0.65574646,-0.12778495,3.4496485700592583,50,42
SW1783,25262965,-1.790107457804581,-5.2993083,4.8898025,3.7017612,8.591564,2.931137,-11.044337,0.44572067,-0.022982592,3.5092008422137297,50,42
SW1783,135398516,0.4111256308547227,-3.6817815,2.9363458,3.5753548,6.5117006,2.5518034,-8.683316,1.3197529,-1.7114867,4.0929071612349714,50,42
SW1783,11455910,0.0813556724328484,-4.3863473,3.5778964,3.7189188,7.296815,2.7012618,-9.68082,0.9081259,-1.046212,4.467702966286608,50,42
SW1783,16224745,1.2799267696803622,-4.343428,4.399731,3.471086,7.870817,2.8054976,-9.842203,1.1553473,-0.5822334,5.623354904598575,50,42
SW1783,PBD-288,-0.1645364238459804,-4.503922,4.9696836,3.6286688,8.598352,2.9322948,-10.251221,1.2433763,-0.017829126,4.33938556178024,50,42
SW1783,5702198,1.7734079072015667,-4.1024537,3.7427793,3.5561543,7.2989335,2.701654,-9.397696,1.1927881,-1.0444663,5.875861615850249,50,42
SW1783,17755052,0.483346562898213,-3.8181543,4.265385,3.481099,7.746484,2.7832506,-9.273325,1.6370168,-0.6812604,4.301500897920185,50,42
